product_name,quantity,price,sale_date
Laptop Pro,2,1299.99,2024-01-15
Wireless Mouse,5,29.99,2024-01-15
Keyboard,3,89.99,2024-01-16
Monitor 24",1,299.99,2024-01-16
USB Cable,10,9.99,2024-01-17
Laptop Pro,1,1299.99,2024-01-17
Phone Case,8,19.99,2024-01-18
Charger,4,39.99,2024-01-18
Headphones,2,199.99,2024-01-19
Tablet,1,599.99,2024-01-19
Laptop Pro,3,1299.99,2024-01-20
Wireless Mouse,12,29.99,2024-01-20
Speaker,2,149.99,2024-01-21
Laptop Pro,2,1299.99,2024-01-21
Monitor 24",2,299.99,2024-01-22
USB Cable,15,9.99,2024-01-22
Phone Case,6,19.99,2024-01-23
Keyboard,4,89.99,2024-01-23
Charger,7,39.99,2024-01-24
Headphones,3,199.99,2024-01-24
Laptop Pro,1,1299.99,2024-01-25
Tablet,2,599.99,2024-01-25
Speaker,1,149.99,2024-01-26
Wireless Mouse,8,29.99,2024-01-26
Monitor 24",1,299.99,2024-01-27
USB Cable,20,9.99,2024-01-27
Phone Case,10,19.99,2024-01-28
Laptop Pro,2,1299.99,2024-01-28
Keyboard,2,89.99,2024-01-29
Charger,5,39.99,2024-01-29
Headphones,1,199.99,2024-01-30
Tablet,1,599.99,2024-01-30
